partner,Nom,mandate,state,signature_date,last_debit_date
002235,AMPA ESCOLA FANALS D'ARO,22350010360000000000000000000000000,valid,2014-11-13,2017-11-10
002236,AMPA INSTITUT DE TERRASSA,22360029840000000000000000000000000,valid,2014-10-01,2017-10-27
002237,AMPA ESCOLA MARTA MATA,22370028700000000000000000000000000,valid,2014-10-28,2017-10-27
002238,AMPA ESCOLA VORA MAR,22380037390000000000000000000000000,valid,2015-08-01,2017-11-28
002239,AMPA CEIP LA GUARDIA,22390003320000000000000000000000000,esborrany,2014-10-14,2017-10-27
002240,AMPA IES COLL I RODÉS,22400030160000000000000000000000000,valid,2017-09-01,2017-11-10
002241,AMPA IES FONTANELLES,22410034730000000000000000000000000,esborrany,2014-10-01,2017-10-27
002242,AMPA ESCOLA MAS CLARIANA,22420035480000000000000000000000000,valid,2015-08-01,2017-10-27
002244,AMPA ESCOLA MONTAGUT,22440004610000000000000000000000000,valid,2015-10-01,2017-10-27
002245,AFA ESCOLA MAR NOVA,22450004280000000000000000000000000,valid,2017-10-01,2017-10-27
002247,AMPA CEIP LES DEVESES,22470025320000000000000000000000000,esborrany,2014-10-01,2017-10-27
002248,AMPA EB JOAQUIM BLUME,22480007640000000000000000000000000,valid,2015-12-01,2017-10-27
002249,AMPA ESCOLA FALGUERA,22490029990000000000000000000000000,esborrany,2017-09-01,2017-10-27
002251,AMPA LLAR D'INFANTS LA ROSELLA,22510024540000000000000000000000000,valid,2017-03-01,2017-10-27
002252,AMPA CPEE ELS ANGELS,22520007190000000000000000000000000,esborrany,2015-02-20,2017-10-27
002253,AMPA CEIP VILADECANS III,22530004420000000000000000000000000,valid,2014-10-09,2017-10-27
002254,AMPA EB LA PALMERA,22540027980000000000000000000000000,esborrany,2014-12-01,2017-10-27
002255,APA IES EMPURIABRAVA,22550021020000000000000000000000000,esborrany,2014-10-17,2017-11-10
002256,AMPA EB EL PATINET,22560007470000000000000000000000000,valid,2016-07-01,2017-10-27
002257,AMPA CEIP VERNS,22570006970000000000000000000000000,valid,2014-11-01,2017-11-10
002258,AMPA CEIP GARIGOT,22580035200000000000000000000000000,esborrany,2014-10-01,2017-10-27
002261,AMPA CEIP MARE DE DÉU DEL PUIG DE MEIÀ,22610036220000000000000000000000000,valid,2014-10-01,2017-10-27
002262,AMPA CEIP MASQUEFA 2,22620004380000000000000000000000000,esborrany,2015-08-01,2017-11-10
002263,AMPA INSTITUT POLINYÀ,22630015400000000000000000000000000,valid,2014-10-01,2017-10-27
002264,AMPA CEIP SANTA CECILIA,22640038050000000000000000000000000,valid,2014-10-15,2017-11-10
002265,AMPA CEIP CAU DE LA GUINEU,22650001210000000000000000000000000,valid,2014-10-01,2017-10-27
002266,AMPA IES MEDITERRANIA,22660034430000000000000000000000000,esborrany,2017-11-01,2017-11-24
002267,AMPA CEIP TORRESCASANA,22670038190000000000000000000000000,esborrany,2017-05-01,2017-10-27
002268,AMPA CEIP SOLER DE VILARDELL,22680006520000000000000000000000000,valid,2014-10-01,2017-10-27
002269,AMPA ESCOLA POBLENOU,22690005320000000000000000000000000,valid,2014-10-27,2017-10-27
002270,AMPA ESCOLA LA ROUREDA,22700024170000000000000000000000000,esborrany,2018-03-01,2017-10-27
002271,AMPA ESCOLA MAS RAMPINYO,22710004390000000000000000000000000,valid,2015-02-26,2017-10-27
002272,AFA ESCOLA 9D4T,22720000110000000000000000000000000,valid,2017-10-01,2017-11-10
002273,AMPA ESCOLA TRAMUNTANA,22730038670000000000000000000000000,valid,2018-06-01,2017-10-27
002274,AMPA ESCOLA AUSIÀS MARCH,22740030060000000000000000000000000,valid,2014-10-09,2017-10-27
002275,AMPA EB CAN LLONG,22750026800000000000000000000000000,esborrany,2014-10-01,2017-10-27
002276,AMPA CEIP MIGUEL HERNANDEZ,22760004500000000000000000000000000,valid,2014-10-01,2017-10-27
002277,AMIPA EB GÍNJOLS,22770007630000000000000000000000000,valid,2014-10-01,2017-11-24
002278,AMPA CEIP MONTIGALA,22780030330000000000000000000000000,esborrany,2015-07-01,2017-10-27
002279,AMPA ESCOLA LES CIÈNCIES (BUFALAII),22790011470000000000000000000000000,valid,2018-02-01,2017-10-27
002280,AFA CEIP CAN FABRA,22800000020000000000000000000000000,esborrany,2016-11-01,2017-11-28
002281,AMPA ESCOLA LA SERRETA,22810003540000000000000000000000000,valid,2015-08-01,2017-11-10
002282,AFA ESCOLA PUIG DE LES CADIRETES,22820005510000000000000000000000000,valid,2014-09-25,2017-10-27
002283,AMPA ESCOLA LA VALIRA,22830011420000000000000000000000000,valid,2014-10-01,2017-11-10
002284,"AMPA CEIP STA. COLOMA DE GER, ISÒVOL I MERANGES",22840034440000000000000000000000000,valid,2016-10-01,2017-11-28
002285,AMPA CEIP ELS PINETS,22850001960000000000000000000000000,valid,2014-10-01,2018-05-29
002286,AMPA ESCOLA DE MASPUJOLS,22860004370000000000000000000000000,esborrany,2014-10-01,2017-10-27
002287,AMPA ESCOLA MARCEL.LÍ ESQUIUS,22870011780000000000000000000000000,valid,2015-05-18,2017-10-27
002288,AMPA LLAR D'INFANTS EL MAR,22880016460000000000000000000000000,valid,2015-03-27,2017-10-27
002289,AMPA LLAR D'INFANTS EL TOSSALET,22890025710000000000000000000000000,esborrany,2015-02-16,2017-10-27
002290,AMPA EEI ARREL,22900008680000000000000000000000000,valid,2016-11-01,2017-10-27
002291,AMPA LLAR D'INFANTS MUNICIPAL TAPS,22910033670000000000000000000000000,esborrany,2015-02-25,2018-05-29
002292,AMPA ESCOLA PINYANA,22920024620000000000000000000000000,valid,2014-10-01,2017-10-27
